group	sample	contig	gene_id	start	end	strand	pfam_acc	pfam_name	system	evalue	score
wastewater	SRR12447092	k141_89291	k141_89291_15	11122	11784	+	PF13450	NAD_binding_8	mer_mercuric_reductase	0.024	17.5
wastewater	SRR12447092	k141_125237	k141_125237_1	3	2069	-	PF02614	UxaC	sil_cus_RND_efflux	0.013	16.9
wastewater	SRR12447095	k141_7090	k141_7090_49	43707	44051	-	PF01545	Cation_efflux	czc_cation_efflux	0.011	18.1
wastewater	SRR12447095	k141_87111	k141_87111_1	3	1925	-	PF01545	Cation_efflux	czc_cation_efflux	0.04	16.2
wastewater	SRR12447095	k141_97837	k141_97837_2	805	1101	+	PF13450	NAD_binding_8	mer_mercuric_reductase	1.4e-21	79.0
wastewater	SRR12447095	k141_50428	k141_50428_4	1487	2578	-	PF13450	NAD_binding_8	mer_mercuric_reductase	3.6e-20	74.5
wastewater	SRR12447095	k141_151850	k141_151850_1	1	1239	-	PF13450	NAD_binding_8	mer_mercuric_reductase	1.2e-07	34.5
wastewater	SRR12447095	k141_103710	k141_103710_2	497	1546	-	PF13450	NAD_binding_8	mer_mercuric_reductase	0.00013	24.7
wastewater	SRR12447095	k141_23152	k141_23152_2	94	1161	+	PF13450	NAD_binding_8	mer_mercuric_reductase	0.0014	21.4
wastewater	SRR12447095	k141_131594	k141_131594_2	94	1161	+	PF13450	NAD_binding_8	mer_mercuric_reductase	0.0048	19.7
wastewater	SRR12447095	k141_115323	k141_115323_3	1287	2654	+	PF13450	NAD_binding_8	mer_mercuric_reductase	0.0055	19.5
wastewater	SRR12447095	k141_92174	k141_92174_1	3	263	-	PF13450	NAD_binding_8	mer_mercuric_reductase	0.0094	18.7
wastewater	SRR12447095	k141_121870	k141_121870_10	8338	9000	-	PF13450	NAD_binding_8	mer_mercuric_reductase	0.024	17.5
wastewater	SRR12447094	k141_34667	k141_34667_2	483	839	-	PF03960	ArsC	ars_arsenate_reductase	3.4e-21	76.7
wastewater	SRR12447094	k141_58146	k141_58146_5	3201	4349	+	PF03960	ArsC	ars_arsenate_reductase	4.6e-21	76.3
wastewater	SRR12447094	k141_84376	k141_84376_8	4175	4600	+	PF03960	ArsC	ars_arsenate_reductase	2.7e-20	73.8
wastewater	SRR12447094	k141_58761	k141_58761_6	4855	5202	+	PF03960	ArsC	ars_arsenate_reductase	1.1e-18	68.7
wastewater	SRR12447094	k141_47207	k141_47207_1	2	1024	+	PF03960	ArsC	ars_arsenate_reductase	1.6e-15	58.5
wastewater	SRR12447094	k141_56899	k141_56899_1	3	227	+	PF03960	ArsC	ars_arsenate_reductase	3.2e-14	54.3
wastewater	SRR12447094	k141_25797	k141_25797_4	859	1200	-	PF03960	ArsC	ars_arsenate_reductase	2.1e-13	51.8
wastewater	SRR12447094	k141_84355	k141_84355_2	944	1303	-	PF03960	ArsC	ars_arsenate_reductase	6.7e-10	40.5
wastewater	SRR12447094	k141_35968	k141_35968_2	531	869	+	PF03960	ArsC	ars_arsenate_reductase	3e-05	25.6
wastewater	SRR12447094	k141_33765	k141_33765_5	4322	4426	+	PF03960	ArsC	ars_arsenate_reductase	0.034	15.8
wastewater	SRR12447094	k141_89817	k141_89817_2	1229	2173	+	PF01545	Cation_efflux	czc_cation_efflux	3.8e-47	162.0
wastewater	SRR12447094	k141_29587	k141_29587_3	2408	3373	+	PF01545	Cation_efflux	czc_cation_efflux	1.7e-46	159.9
wastewater	SRR12447094	k141_50105	k141_50105_2	525	1439	-	PF01545	Cation_efflux	czc_cation_efflux	2.1e-46	159.6
wastewater	SRR12447094	k141_45910	k141_45910_3	1083	1982	+	PF01545	Cation_efflux	czc_cation_efflux	2.8e-46	159.2
wastewater	SRR12447094	k141_90943	k141_90943_2	761	1627	-	PF01545	Cation_efflux	czc_cation_efflux	2.2e-45	156.2
wastewater	SRR12447094	k141_30282	k141_30282_13	16577	17563	-	PF01545	Cation_efflux	czc_cation_efflux	1.6e-44	153.4
wastewater	SRR12447094	k141_60417	k141_60417_2	990	1862	+	PF01545	Cation_efflux	czc_cation_efflux	1.4e-42	147.1
wastewater	SRR12447094	k141_80382	k141_80382_13	13303	14298	+	PF01545	Cation_efflux	czc_cation_efflux	3.3e-42	145.9
wastewater	SRR12447094	k141_1128	k141_1128_3	1998	2918	-	PF01545	Cation_efflux	czc_cation_efflux	2.4e-41	143.1
wastewater	SRR12447094	k141_43616	k141_43616_2	1500	2417	-	PF01545	Cation_efflux	czc_cation_efflux	4.8e-41	142.1
wastewater	SRR12447094	k141_47709	k141_47709_2	185	1378	-	PF01545	Cation_efflux	czc_cation_efflux	3.6e-39	136.0
wastewater	SRR12447094	k141_84376	k141_84376_7	3002	4018	-	PF01545	Cation_efflux	czc_cation_efflux	2.6e-38	133.2
wastewater	SRR12447094	k141_88041	k141_88041_1	1	765	-	PF01545	Cation_efflux	czc_cation_efflux	1.4e-34	121.0
wastewater	SRR12447094	k141_53922	k141_53922_2	514	1131	+	PF01545	Cation_efflux	czc_cation_efflux	1.7e-34	120.7
wastewater	SRR12447094	k141_94795	k141_94795_6	3846	4772	-	PF01545	Cation_efflux	czc_cation_efflux	3.1e-34	119.9
wastewater	SRR12447094	k141_89862	k141_89862_2	853	1794	-	PF01545	Cation_efflux	czc_cation_efflux	1.1e-33	118.1
wastewater	SRR12447094	k141_24027	k141_24027_2	981	1880	+	PF01545	Cation_efflux	czc_cation_efflux	9.6e-25	88.9
wastewater	SRR12447094	k141_22635	k141_22635_2	924	1865	-	PF01545	Cation_efflux	czc_cation_efflux	7.9e-20	72.8
wastewater	SRR12447094	k141_38368	k141_38368_3	940	1575	-	PF01545	Cation_efflux	czc_cation_efflux	6.8e-18	66.5
wastewater	SRR12447094	k141_67285	k141_67285_1	1	351	-	PF01545	Cation_efflux	czc_cation_efflux	2.3e-12	48.5
wastewater	SRR12447094	k141_5117	k141_5117_3	2773	3321	-	PF01545	Cation_efflux	czc_cation_efflux	1.1e-10	43.1
wastewater	SRR12447094	k141_94629	k141_94629_2	651	1100	-	PF01545	Cation_efflux	czc_cation_efflux	3.3e-05	25.1
wastewater	SRR12447094	k141_46066	k141_46066_4	2600	3493	-	PF01545	Cation_efflux	czc_cation_efflux	0.022	15.9
wastewater	SRR12447094	k141_12670	k141_12670_9	6704	8098	-	PF00394	Cu-oxidase	pco_cop_multicopper_oxidase	0.00013	23.5
wastewater	SRR12447094	k141_60128	k141_60128_2	741	1232	+	PF13450	NAD_binding_8	mer_mercuric_reductase	1.6e-20	74.5
wastewater	SRR12447094	k141_50441	k141_50441_1	2	1258	-	PF13450	NAD_binding_8	mer_mercuric_reductase	1.6e-16	61.7
wastewater	SRR12447094	k141_46979	k141_46979_18	12829	13851	+	PF13450	NAD_binding_8	mer_mercuric_reductase	8.1e-16	59.4
wastewater	SRR12447094	k141_101490	k141_101490_2	737	1072	+	PF13450	NAD_binding_8	mer_mercuric_reductase	8.5e-16	59.4
wastewater	SRR12447094	k141_17103	k141_17103_4	4195	5292	+	PF13450	NAD_binding_8	mer_mercuric_reductase	1.6e-15	58.4
wastewater	SRR12447094	k141_50956	k141_50956_2	1617	2771	+	PF13450	NAD_binding_8	mer_mercuric_reductase	1.8e-14	55.1
wastewater	SRR12447094	k141_78514	k141_78514_2	848	2128	+	PF13450	NAD_binding_8	mer_mercuric_reductase	2.4e-14	54.7
wastewater	SRR12447094	k141_24075	k141_24075_6	3370	4278	-	PF13450	NAD_binding_8	mer_mercuric_reductase	3e-14	54.4
wastewater	SRR12447094	k141_76365	k141_76365_2	1869	2567	+	PF13450	NAD_binding_8	mer_mercuric_reductase	1.6e-13	52.1
wastewater	SRR12447094	k141_76365	k141_76365_1	1	1872	+	PF13450	NAD_binding_8	mer_mercuric_reductase	1.7e-13	52.0
wastewater	SRR12447094	k141_45590	k141_45590_1	2	982	+	PF13450	NAD_binding_8	mer_mercuric_reductase	2.5e-13	51.5
wastewater	SRR12447094	k141_39033	k141_39033_2	501	1982	-	PF13450	NAD_binding_8	mer_mercuric_reductase	2.9e-13	51.2
wastewater	SRR12447094	k141_32693	k141_32693_22	19993	21144	+	PF13450	NAD_binding_8	mer_mercuric_reductase	9.4e-13	49.6
wastewater	SRR12447094	k141_65854	k141_65854_2	818	1120	+	PF13450	NAD_binding_8	mer_mercuric_reductase	1.5e-12	48.9
wastewater	SRR12447094	k141_60676	k141_60676_1	1	1182	-	PF13450	NAD_binding_8	mer_mercuric_reductase	1.6e-12	48.9
wastewater	SRR12447094	k141_52252	k141_52252_1	192	1673	-	PF13450	NAD_binding_8	mer_mercuric_reductase	3.1e-12	48.0
wastewater	SRR12447094	k141_60368	k141_60368_2	204	1352	-	PF13450	NAD_binding_8	mer_mercuric_reductase	8.3e-12	46.6
wastewater	SRR12447094	k141_49715	k141_49715_1	1	1599	-	PF13450	NAD_binding_8	mer_mercuric_reductase	2.8e-11	44.9
wastewater	SRR12447094	k141_45479	k141_45479_1	2	1084	-	PF13450	NAD_binding_8	mer_mercuric_reductase	6.3e-11	43.7
wastewater	SRR12447094	k141_77998	k141_77998_13	9539	10882	-	PF13450	NAD_binding_8	mer_mercuric_reductase	8.1e-11	43.4
wastewater	SRR12447094	k141_90921	k141_90921_1	3	785	-	PF13450	NAD_binding_8	mer_mercuric_reductase	9e-11	43.3
wastewater	SRR12447094	k141_15096	k141_15096_4	2232	3698	+	PF13450	NAD_binding_8	mer_mercuric_reductase	1.2e-10	42.8
wastewater	SRR12447094	k141_73062	k141_73062_1	2	1252	-	PF13450	NAD_binding_8	mer_mercuric_reductase	2.9e-10	41.6
wastewater	SRR12447094	k141_18634	k141_18634_1	2	2896	+	PF13450	NAD_binding_8	mer_mercuric_reductase	5.1e-10	40.9
wastewater	SRR12447094	k141_17574	k141_17574_2	2046	2942	+	PF13450	NAD_binding_8	mer_mercuric_reductase	5.8e-10	40.7
wastewater	SRR12447094	k141_44335	k141_44335_1	2	631	-	PF13450	NAD_binding_8	mer_mercuric_reductase	7.1e-10	40.4
wastewater	SRR12447094	k141_68242	k141_68242_1	1	576	-	PF13450	NAD_binding_8	mer_mercuric_reductase	9.5e-10	40.0
wastewater	SRR12447094	k141_98262	k141_98262_22	24632	25315	+	PF13450	NAD_binding_8	mer_mercuric_reductase	1.4e-09	39.4
wastewater	SRR12447094	k141_59828	k141_59828_3	2202	4553	+	PF13450	NAD_binding_8	mer_mercuric_reductase	2e-09	39.0
wastewater	SRR12447094	k141_30218	k141_30218_2	591	1364	-	PF13450	NAD_binding_8	mer_mercuric_reductase	2e-09	38.9
wastewater	SRR12447094	k141_28651	k141_28651_1	3	1217	-	PF13450	NAD_binding_8	mer_mercuric_reductase	2.2e-09	38.8
wastewater	SRR12447094	k141_97305	k141_97305_1	87	1031	+	PF13450	NAD_binding_8	mer_mercuric_reductase	3.2e-09	38.3
wastewater	SRR12447094	k141_84222	k141_84222_2	646	1863	-	PF13450	NAD_binding_8	mer_mercuric_reductase	4.4e-09	37.8
wastewater	SRR12447094	k141_6400	k141_6400_3	2290	3471	-	PF13450	NAD_binding_8	mer_mercuric_reductase	5.6e-09	37.5
wastewater	SRR12447094	k141_6315	k141_6315_4	2646	3362	+	PF13450	NAD_binding_8	mer_mercuric_reductase	6.2e-09	37.4
wastewater	SRR12447094	k141_24959	k141_24959_3	1356	1517	+	PF13450	NAD_binding_8	mer_mercuric_reductase	1e-08	36.7
wastewater	SRR12447094	k141_87456	k141_87456_1	3	902	-	PF13450	NAD_binding_8	mer_mercuric_reductase	1.2e-08	36.5
wastewater	SRR12447094	k141_71109	k141_71109_1	2	1045	-	PF13450	NAD_binding_8	mer_mercuric_reductase	1.8e-08	35.9
wastewater	SRR12447094	k141_82244	k141_82244_4	2843	3937	-	PF13450	NAD_binding_8	mer_mercuric_reductase	1.9e-08	35.8
wastewater	SRR12447094	k141_91977	k141_91977_2	843	1613	-	PF13450	NAD_binding_8	mer_mercuric_reductase	2e-08	35.7
wastewater	SRR12447094	k141_35188	k141_35188_3	834	1565	+	PF13450	NAD_binding_8	mer_mercuric_reductase	4.1e-08	34.8
wastewater	SRR12447094	k141_79469	k141_79469_5	5122	8370	+	PF13450	NAD_binding_8	mer_mercuric_reductase	4.5e-08	34.6
wastewater	SRR12447094	k141_64349	k141_64349_2	382	1161	-	PF13450	NAD_binding_8	mer_mercuric_reductase	4.8e-08	34.5
wastewater	SRR12447094	k141_95669	k141_95669_1	61	1305	-	PF13450	NAD_binding_8	mer_mercuric_reductase	5.7e-08	34.3
wastewater	SRR12447094	k141_66835	k141_66835_5	3713	4957	-	PF13450	NAD_binding_8	mer_mercuric_reductase	5.7e-08	34.3
wastewater	SRR12447094	k141_31891	k141_31891_4	4157	5659	+	PF13450	NAD_binding_8	mer_mercuric_reductase	6.9e-08	34.0
wastewater	SRR12447094	k141_11890	k141_11890_2	309	1124	+	PF13450	NAD_binding_8	mer_mercuric_reductase	7.4e-08	33.9
wastewater	SRR12447094	k141_60115	k141_60115_1	242	2626	-	PF13450	NAD_binding_8	mer_mercuric_reductase	9.8e-08	33.5
wastewater	SRR12447094	k141_17567	k141_17567_5	3015	3689	+	PF13450	NAD_binding_8	mer_mercuric_reductase	1.2e-07	33.2
wastewater	SRR12447094	k141_39366	k141_39366_1	332	1468	+	PF13450	NAD_binding_8	mer_mercuric_reductase	1.3e-07	33.1
wastewater	SRR12447094	k141_77998	k141_77998_9	5436	7130	-	PF13450	NAD_binding_8	mer_mercuric_reductase	2e-07	32.5
wastewater	SRR12447094	k141_65647	k141_65647_3	1115	2389	-	PF13450	NAD_binding_8	mer_mercuric_reductase	2.1e-07	32.5
wastewater	SRR12447094	k141_38571	k141_38571_1	21	1064	+	PF13450	NAD_binding_8	mer_mercuric_reductase	2.1e-07	32.5
wastewater	SRR12447094	k141_83398	k141_83398_8	4193	4555	+	PF13450	NAD_binding_8	mer_mercuric_reductase	2.2e-07	32.4
wastewater	SRR12447094	k141_85263	k141_85263_4	1586	1948	+	PF13450	NAD_binding_8	mer_mercuric_reductase	2.5e-07	32.2
wastewater	SRR12447094	k141_970	k141_970_1	3	1037	-	PF13450	NAD_binding_8	mer_mercuric_reductase	2.5e-07	32.2
wastewater	SRR12447094	k141_30047	k141_30047_18	19857	21665	-	PF13450	NAD_binding_8	mer_mercuric_reductase	2.9e-07	32.0
wastewater	SRR12447094	k141_23317	k141_23317_1	290	1516	+	PF13450	NAD_binding_8	mer_mercuric_reductase	3.2e-07	31.9
wastewater	SRR12447094	k141_14073	k141_14073_2	208	1218	+	PF13450	NAD_binding_8	mer_mercuric_reductase	3.6e-07	31.7
wastewater	SRR12447094	k141_61017	k141_61017_1	2	538	-	PF13450	NAD_binding_8	mer_mercuric_reductase	4.8e-07	31.3
wastewater	SRR12447094	k141_75412	k141_75412_1	2	1642	+	PF13450	NAD_binding_8	mer_mercuric_reductase	4.9e-07	31.3
wastewater	SRR12447094	k141_2535	k141_2535_2	404	1021	-	PF13450	NAD_binding_8	mer_mercuric_reductase	5.2e-07	31.2
wastewater	SRR12447094	k141_77375	k141_77375_3	443	2104	-	PF13450	NAD_binding_8	mer_mercuric_reductase	5.2e-07	31.2
wastewater	SRR12447094	k141_75199	k141_75199_1	3	551	-	PF13450	NAD_binding_8	mer_mercuric_reductase	5.6e-07	31.1
wastewater	SRR12447094	k141_68185	k141_68185_1	3	2363	-	PF13450	NAD_binding_8	mer_mercuric_reductase	6.1e-07	31.0
wastewater	SRR12447094	k141_19930	k141_19930_7	9072	9695	+	PF13450	NAD_binding_8	mer_mercuric_reductase	6.7e-07	30.9
wastewater	SRR12447094	k141_76913	k141_76913_6	3857	5122	+	PF13450	NAD_binding_8	mer_mercuric_reductase	7.4e-07	30.7
wastewater	SRR12447094	k141_69832	k141_69832_1	3	1103	-	PF13450	NAD_binding_8	mer_mercuric_reductase	8.7e-07	30.5
wastewater	SRR12447094	k141_90926	k141_90926_2	453	1361	+	PF13450	NAD_binding_8	mer_mercuric_reductase	9.7e-07	30.3
wastewater	SRR12447094	k141_9298	k141_9298_5	5542	6516	-	PF13450	NAD_binding_8	mer_mercuric_reductase	1.4e-06	29.8
wastewater	SRR12447094	k141_17041	k141_17041_5	3944	4984	-	PF13450	NAD_binding_8	mer_mercuric_reductase	1.6e-06	29.6
wastewater	SRR12447094	k141_63197	k141_63197_2	1051	1515	+	PF13450	NAD_binding_8	mer_mercuric_reductase	1.8e-06	29.5
wastewater	SRR12447094	k141_3943	k141_3943_1	1	1152	-	PF13450	NAD_binding_8	mer_mercuric_reductase	1.9e-06	29.4
wastewater	SRR12447094	k141_23637	k141_23637_3	1676	2782	+	PF13450	NAD_binding_8	mer_mercuric_reductase	2.6e-06	29.0
wastewater	SRR12447094	k141_42613	k141_42613_2	893	2185	+	PF13450	NAD_binding_8	mer_mercuric_reductase	3.1e-06	28.7
wastewater	SRR12447094	k141_92562	k141_92562_2	356	1456	-	PF13450	NAD_binding_8	mer_mercuric_reductase	3.2e-06	28.7
wastewater	SRR12447094	k141_70787	k141_70787_1	3	188	-	PF13450	NAD_binding_8	mer_mercuric_reductase	3.2e-06	28.7
wastewater	SRR12447094	k141_25544	k141_25544_4	2085	3251	+	PF13450	NAD_binding_8	mer_mercuric_reductase	3.5e-06	28.6
wastewater	SRR12447094	k141_97987	k141_97987_3	1127	2038	+	PF13450	NAD_binding_8	mer_mercuric_reductase	3.6e-06	28.5
wastewater	SRR12447094	k141_65798	k141_65798_1	1	612	-	PF13450	NAD_binding_8	mer_mercuric_reductase	3.6e-06	28.5
wastewater	SRR12447094	k141_93374	k141_93374_1	3	1250	-	PF13450	NAD_binding_8	mer_mercuric_reductase	4.8e-06	28.1
wastewater	SRR12447094	k141_37961	k141_37961_1	3	1004	-	PF13450	NAD_binding_8	mer_mercuric_reductase	4.9e-06	28.1
wastewater	SRR12447094	k141_65057	k141_65057_4	1677	4127	-	PF13450	NAD_binding_8	mer_mercuric_reductase	5e-06	28.1
wastewater	SRR12447094	k141_16548	k141_16548_1	11	1066	-	PF13450	NAD_binding_8	mer_mercuric_reductase	5.2e-06	28.0
wastewater	SRR12447094	k141_5049	k141_5049_8	5508	7166	-	PF13450	NAD_binding_8	mer_mercuric_reductase	5.5e-06	27.9
wastewater	SRR12447094	k141_25618	k141_25618_1	444	1952	-	PF13450	NAD_binding_8	mer_mercuric_reductase	5.9e-06	27.8
wastewater	SRR12447094	k141_43427	k141_43427_4	3875	5731	-	PF13450	NAD_binding_8	mer_mercuric_reductase	6.1e-06	27.8
wastewater	SRR12447094	k141_75613	k141_75613_2	1796	2962	+	PF13450	NAD_binding_8	mer_mercuric_reductase	7.6e-06	27.5
wastewater	SRR12447094	k141_13216	k141_13216_2	539	1174	+	PF13450	NAD_binding_8	mer_mercuric_reductase	7.8e-06	27.4
wastewater	SRR12447094	k141_95872	k141_95872_3	1197	2621	+	PF13450	NAD_binding_8	mer_mercuric_reductase	8.3e-06	27.3
wastewater	SRR12447094	k141_9897	k141_9897_1	2	667	-	PF13450	NAD_binding_8	mer_mercuric_reductase	1.3e-05	26.7
wastewater	SRR12447094	k141_53579	k141_53579_2	533	1234	+	PF13450	NAD_binding_8	mer_mercuric_reductase	1.5e-05	26.5
wastewater	SRR12447094	k141_198	k141_198_1	1	741	-	PF13450	NAD_binding_8	mer_mercuric_reductase	1.6e-05	26.4
wastewater	SRR12447094	k141_69751	k141_69751_1	1	696	-	PF13450	NAD_binding_8	mer_mercuric_reductase	1.7e-05	26.3
wastewater	SRR12447094	k141_98816	k141_98816_1	1	1482	-	PF13450	NAD_binding_8	mer_mercuric_reductase	1.7e-05	26.3
wastewater	SRR12447094	k141_44336	k141_44336_1	109	1503	-	PF13450	NAD_binding_8	mer_mercuric_reductase	2e-05	26.1
wastewater	SRR12447094	k141_80127	k141_80127_2	961	1332	+	PF13450	NAD_binding_8	mer_mercuric_reductase	2.5e-05	25.8
wastewater	SRR12447094	k141_77454	k141_77454_5	3506	5095	+	PF13450	NAD_binding_8	mer_mercuric_reductase	3.6e-05	25.3
wastewater	SRR12447094	k141_64065	k141_64065_2	1264	2421	+	PF13450	NAD_binding_8	mer_mercuric_reductase	4.5e-05	25.0
wastewater	SRR12447094	k141_5049	k141_5049_10	8162	9472	-	PF13450	NAD_binding_8	mer_mercuric_reductase	4.9e-05	24.9
wastewater	SRR12447094	k141_80601	k141_80601_11	10296	11225	-	PF13450	NAD_binding_8	mer_mercuric_reductase	5.4e-05	24.7
wastewater	SRR12447094	k141_54245	k141_54245_1	33	1769	-	PF13450	NAD_binding_8	mer_mercuric_reductase	5.6e-05	24.7
wastewater	SRR12447094	k141_67512	k141_67512_1	3	1187	-	PF13450	NAD_binding_8	mer_mercuric_reductase	5.9e-05	24.6
wastewater	SRR12447094	k141_31614	k141_31614_2	148	1335	+	PF13450	NAD_binding_8	mer_mercuric_reductase	6.5e-05	24.5
wastewater	SRR12447094	k141_28431	k141_28431_3	1756	3024	-	PF13450	NAD_binding_8	mer_mercuric_reductase	8.2e-05	24.2
wastewater	SRR12447094	k141_27516	k141_27516_1	2	754	-	PF13450	NAD_binding_8	mer_mercuric_reductase	9e-05	24.0
wastewater	SRR12447094	k141_1718	k141_1718_2	958	2391	-	PF13450	NAD_binding_8	mer_mercuric_reductase	9e-05	24.0
wastewater	SRR12447094	k141_38439	k141_38439_2	1256	2575	+	PF13450	NAD_binding_8	mer_mercuric_reductase	0.00012	23.6
wastewater	SRR12447094	k141_42203	k141_42203_4	1461	2117	+	PF13450	NAD_binding_8	mer_mercuric_reductase	0.00012	23.6
wastewater	SRR12447094	k141_49269	k141_49269_1	266	1210	-	PF13450	NAD_binding_8	mer_mercuric_reductase	0.00013	23.6
wastewater	SRR12447094	k141_1964	k141_1964_2	1966	3258	-	PF13450	NAD_binding_8	mer_mercuric_reductase	0.00013	23.5
wastewater	SRR12447094	k141_20186	k141_20186_3	905	1207	+	PF13450	NAD_binding_8	mer_mercuric_reductase	0.00016	23.3
wastewater	SRR12447094	k141_78766	k141_78766_2	542	1291	+	PF13450	NAD_binding_8	mer_mercuric_reductase	0.00022	22.8
wastewater	SRR12447094	k141_19261	k141_19261_1	1	1110	-	PF13450	NAD_binding_8	mer_mercuric_reductase	0.00022	22.8
wastewater	SRR12447094	k141_5380	k141_5380_1	1	513	-	PF13450	NAD_binding_8	mer_mercuric_reductase	0.00023	22.7
wastewater	SRR12447094	k141_34660	k141_34660_2	181	2637	-	PF13450	NAD_binding_8	mer_mercuric_reductase	0.00031	22.3
wastewater	SRR12447094	k141_64764	k141_64764_1	2	1720	+	PF13450	NAD_binding_8	mer_mercuric_reductase	0.00035	22.1
wastewater	SRR12447094	k141_64279	k141_64279_1	3	1409	+	PF13450	NAD_binding_8	mer_mercuric_reductase	0.00038	22.0
wastewater	SRR12447094	k141_58146	k141_58146_10	11189	11971	+	PF13450	NAD_binding_8	mer_mercuric_reductase	0.0004	22.0
wastewater	SRR12447094	k141_3940	k141_3940_1	2	721	-	PF13450	NAD_binding_8	mer_mercuric_reductase	0.0004	21.9
wastewater	SRR12447094	k141_63292	k141_63292_4	2967	4157	+	PF13450	NAD_binding_8	mer_mercuric_reductase	0.00052	21.6
wastewater	SRR12447094	k141_25124	k141_25124_1	7	1317	-	PF13450	NAD_binding_8	mer_mercuric_reductase	0.00058	21.4
wastewater	SRR12447094	k141_39908	k141_39908_9	5366	6580	-	PF13450	NAD_binding_8	mer_mercuric_reductase	0.00061	21.4
wastewater	SRR12447094	k141_97086	k141_97086_3	2925	4265	+	PF13450	NAD_binding_8	mer_mercuric_reductase	0.00069	21.2
wastewater	SRR12447094	k141_94610	k141_94610_2	723	2438	+	PF13450	NAD_binding_8	mer_mercuric_reductase	0.00074	21.1
